rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
8,Richmond United ECNL G09,Richmond United,59426,3,2,0,1,7,2.33,9,3,6,G2009,Champions League
9,VDA ECNL G09,Virginia Development Academy,59474,3,2,0,1,7,2.33,9,4,5,G2009,Champions League
10,Slammers FC HB Koge ECNL G09,Slammers FC HB Koge,54921,3,2,0,1,7,2.33,4,0,4,G2009,Champions League
11,Crossfire Premier ECNL G09,Crossfire Premier,60436,3,2,0,1,7,2.33,7,4,3,G2009,Champions League
12,Seattle United ECNL G09,Seattle United,56728,3,2,0,1,7,2.33,6,4,2,G2009,Champions League
13,DKSC ECNL G09,DKSC,47082,3,2,0,1,7,2.33,5,3,2,G2009,Champions League
14,United Futbol Academy ECNL G09,United Futbol Academy,59536,3,2,1,0,6,2.0,13,4,9,G2009,Champions League
15,Kansas City Athletics ECNL G09,KC Athletics,33175,3,2,1,0,6,2.0,6,2,4,G2009,Champions League
16,Solar SC ECNL G09,Solar SC,59562,3,2,1,0,6,2.0,6,2,4,G2009,Champions League
17,Eclipse Select SC ECNL G09,Eclipse Select Soccer Club,59906,3,2,1,0,6,2.0,11,8,3,G2009,Champions League
18,Beach FC ECNL G09,Beach Futbol Club,60046,3,2,1,0,6,2.0,4,2,2,G2009,Champions League
19,Concorde Fire Platinum ECNL G09,Concorde Fire ,59255,3,2,1,0,6,2.0,7,6,1,G2009,Champions League
20,Ohio Premier ECNL G09,Ohio Premier,60137,3,2,1,0,6,2.0,3,2,1,G2009,Champions League
21,SUSA FC ECNL G09,SUSA FC,46963,3,1,0,2,5,1.67,3,2,1,G2009,Champions League
22,Match Fit Academy ECNL G09,Match Fit Surf,46947,3,1,1,1,4,1.33,7,4,3,G2009,Champions League
23,SLSG Navy ECNL G09,St. Louis Scott Gallagher,54343,3,1,1,1,4,1.33,5,4,1,G2009,Champions League
24,FC Stars Blue ECNL G09,FC Stars,36636,3,1,1,1,4,1.33,3,2,1,G2009,Champions League
25,Eagles SC ECNL G09,Eagles SC,5544,3,0,0,3,3,1.0,4,4,0,G2009,Champions League
26,Alabama FC ECNL G09,Alabama FC,58734,3,1,2,0,3,1.0,6,8,-2,G2009,Champions League
27,Bay Area Surf ECNL G09,Bay Area Surf,69035,3,1,2,0,3,1.0,7,10,-3,G2009,Champions League
28,FC Dallas ECNL G09,FC Dallas Youth,58541,3,1,2,0,3,1.0,5,8,-3,G2009,Champions League
