date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-10-25,01:00 PM,Bracket,Classics Elite ECNL GU18/U19,1,7,DKSC ECNL GU18/U19,CE Soccer Complex,Field 6 d don't use,On Time,171840
2020-10-25,01:00 PM,Bracket,Sting Austin ECNL GU18/U19,1,3,Sting Dallas Black ECNL GU18/U19,1849 Park,Field 3A,On Time,171841
2020-10-31,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,4,Challenge SC ECNL GU18/U19,Carpenter Pak,Field D,On Time,171843
2020-10-31,03:00 PM,Bracket,FC Dallas ECNL GU18/U19,4,0,AHFC ECNL GU18/U19,Toyota Soccer Center,Field 6,On Time,171842
2020-11-01,11:00 AM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,6,AHFC ECNL GU18/U19,Carpenter Pak,Field D,On Time,171849
2020-11-01,11:30 AM,Bracket,FC Dallas ECNL GU18/U19,0,1,Challenge SC ECNL GU18/U19,Toyota Soccer Center,Field 5,On Time,171848
2020-11-07,01:00 PM,Bracket,DKSC ECNL GU18/U19,7,0,Tulsa SC ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171854
2020-11-07,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,7,0,Oklahoma Celtic ECNL GU18/U19,Toyota of Lewisville Railroad Park,Field 1,On Time,171855
2020-11-08,11:00 AM,Bracket,FC Dallas ECNL GU18/U19,4,1,Sting Dallas Royal ECNL GU18/U19,Toyota Soccer Center,Field 5,On Time,171860
2020-11-08,01:00 PM,Bracket,DKSC ECNL GU18/U19,3,0,Oklahoma Celtic ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171856
2020-11-08,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,3,2,Tulsa SC ECNL GU18/U19,Toyota of Lewisville Railroad Park,Field 1,On Time,171857
2020-11-08,01:00 PM,Bracket,Classics Elite ECNL GU18/U19,2,1,Sting Austin ECNL GU18/U19,CE Soccer Complex,Field 5,On Time,171859
2020-11-08,03:00 PM,Bracket,AHFC ECNL GU18/U19,1,2,Challenge SC ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171858
2020-11-15,01:00 PM,Bracket,Dallas Texans ECNL GU18/U19,2,2,DKSC ECNL GU18/U19,Ross Stewart Soccer Complex,Field 4,On Time,171852
2020-11-22,11:00 AM,Bracket,Sting Dallas Black ECNL GU18/U19,1,1,DKSC ECNL GU18/U19,Fairview Soccer Park ,Field 4,On Time,171867
2020-12-05,01:00 PM,Bracket,Sting Austin ECNL GU18/U19,2,0,Oklahoma Celtic ECNL GU18/U19,Riverwalk,Field 1,On Time,171799
2020-12-06,11:00 AM,Bracket,Classics Elite ECNL GU18/U19,2,1,Oklahoma Celtic ECNL GU18/U19,CE Soccer Complex,Field 6,On Time,171804
2020-12-12,01:00 PM,Bracket,Challenge SC ECNL GU18/U19,0,3,DKSC ECNL GU18/U19,Burroughs Park,Field 4,On Time,171868
2020-12-12,01:00 PM,Bracket,AHFC ECNL GU18/U19,,,Sting Dallas Black ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171869
2020-12-12,01:00 PM,Bracket,Sting Austin ECNL GU18/U19,0,3,Dallas Texans ECNL GU18/U19,Parkway Church,Field 1,On Time,171872
2020-12-12,01:00 PM,Bracket,Classics Elite ECNL GU18/U19,0,10,Solar ECNL GU18/U19,CE Soccer Complex,Field 6 d don't use,On Time,171873
2020-12-12,03:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,2,3,FC Dallas ECNL GU18/U19,Oklahoma Celtic,Field 9,On Time,171870
2020-12-12,03:00 PM,Bracket,Tulsa SC ECNL GU18/U19,2,2,Sting Dallas Royal ECNL GU18/U19,ISSC,Field 40,On Time,171871
2020-12-13,11:30 AM,Bracket,Challenge SC ECNL GU18/U19,,,Sting Dallas Black ECNL GU18/U19,Burroughs Park,Field 4,On Time,171874
2020-12-13,11:30 AM,Bracket,AHFC ECNL GU18/U19,,,DKSC ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171875
2020-12-13,01:00 PM,Bracket,Sting Austin ECNL GU18/U19,0,11,Solar ECNL GU18/U19,Charles A. Forbes Middle School,Stadium Field,On Time,171878
2020-12-13,01:00 PM,Bracket,Classics Elite ECNL GU18/U19,0,2,Dallas Texans ECNL GU18/U19,CE Soccer Complex,Field 6,On Time,171879
2021-01-23,09:45 AM,Bracket,AHFC ECNL GU18/U19,1,3,Tulsa SC ECNL GU18/U19,Campbell Road Sports Park,Field 4,On Time,171830
2021-01-24,11:30 AM,Bracket,Challenge SC ECNL GU18/U19,1,0,Tulsa SC ECNL GU18/U19,Campbell Rd Sports Park,TBD ,On Time,171835
2021-01-30,02:00 PM,Bracket,Tulsa SC ECNL GU18/U19,3,1,Oklahoma Celtic ECNL GU18/U19,Titan Main,Field 1,On Time,171864
2021-03-06,01:00 PM,Bracket,Dallas Texans ECNL GU18/U19,,,Challenge SC ECNL GU18/U19,Ross Stewart Soccer Complex,Field 2,On Time,171862
2021-03-06,03:00 PM,Bracket,Solar ECNL GU18/U19,,,AHFC ECNL GU18/U19,Fairview Soccer Park ,Field 2,On Time,171863
2021-03-07,09:00 AM,Bracket,Dallas Texans ECNL GU18/U19,,,AHFC ECNL GU18/U19,Ross Stewart Soccer Complex,Field 1,On Time,171865
2021-04-17,11:00 AM,Bracket,Classics Elite ECNL GU18/U19,3,1,Sting Dallas Royal ECNL GU18/U19,CE Soccer Complex,Field 6 d don't use,On Time,171882
2021-04-17,03:00 PM,Bracket,Sting Austin ECNL GU18/U19,0,3,FC Dallas ECNL GU18/U19,Benold Middle School,Track Field,On Time,171881
2021-04-18,01:00 PM,Bracket,Classics Elite ECNL GU18/U19,0,3,FC Dallas ECNL GU18/U19,CE Soccer Complex,Field 6 d don't use,On Time,171886
2021-04-18,01:15 PM,Bracket,Tulsa SC ECNL GU18/U19,0,3,Sting Dallas Black ECNL GU18/U19,Mohawk,Field 16,On Time,171785
2021-04-18,03:00 PM,Bracket,Sting Austin ECNL GU18/U19,2,1,Sting Dallas Royal ECNL GU18/U19,George Wagner Middle School Stadium,Stadium Field,On Time,171885
